abovementioned	ดังกล่าวข้างต้น
younger brother-in-law	น้องเขย
DJ	นักจัดรายการ
reformer	นักปฏิรูป
philosopher	นักปรัชญา
Yes, quite so.	นั่นสิ
count votes	นับคะแนน
be respectable	น่าเคารพนับถือ
breathtaking	น่าใจหาย
quite long	นานโข
wait expectantly	น่าลุ้น
trustworthy	น่าไว้ใจ
faithful	น่าศรัทธา
enjoyable	น่าสนุก
sorrowful	น่าสลดใจ
worrying	น่าหนักใจ
fascinating	น่าหลงใหล
scary	น่าหวาดกลัว
thrilling	น่าหวาดเสียว
funny	น่าหัวเราะ
shamefully	น่าอัปยศอดสู
be enjoyable to read	น่าอ่าน
tediously	น่าเอือมระอา
ice water	น้ำแข็งเปล่า
cold water	น้ำเย็น
hot water	น้ำร้อน
clean water	น้ำสะอาด
someone like you	น้ำหน้า
be at ease	นิ่งนอนใจ
privilege	บัตรแข็ง
parking pass	บัตรจอดรถ
ID card	บัตรประชาชน
catalogue card	บัตรรายการ
voided ballot	บัตรเสีย
temporary ID card	บัตรเหลือง
some aspects	บางประการ
some issues	บางประเด็น
some people	บางราย
engage in business	ประกอบการ
run a business	ประกอบธุรกิจ
declare oneself	ประกาศตัว
sustain oneself	ประคองตัว
reinvigorate oneself	ประคองตัว
adhere to	ประจำใจ
enrich one's mind	ประเทืองปัญญา
behave well	ประพฤติชอบ
behave oneself	ประพฤติตน
misbehave	ประพฤติมิชอบ
folk custom	ประเพณีพื้นบ้าน
rejoice at	ปลื้มปิติ
over	ปลื้มปิติ
gambler	นักพนัน
all the people	ปวงประชา
have shocking pain	ปวดแปลบ
cover up	ปิดป้อง
cover one's eyes and ears	ปิดหูปิดตา
lay the foundation	ปูพื้น
lay the floor	ปูพื้น
survey findings	ผลสำรวจ
flee	ผละหนี
repel	ผละออก
be illegal	ผิดกฎหมาย
nobleman	ผู้สูงศักดิ์
dream	ฝันใฝ่
exercise one's mind	ฝึกสมอง
royal permission	พระบรมราชานุญาต
patronage	พระบรมราชูปถัมภ์
royal policy	พระบรมราโชบาย
repairman	ผู้แก้ไข
discoverer	ผู้ค้นพบ
opponent	ผู้คัดค้าน
killer	ผู้ฆ่า
organizer	ผู้จัดทำ
persuader	ผู้ชักชวน
guide	ผู้ชักนำ
guide	ผู้ชี้นำ
manager	ผู้ดำเนินงาน
traveler	ผู้เดินทาง
examiner	ผู้ตรวจ
inspector	ผู้ตรวจการณ์
examiner	ผู้ตรวจสอบ
decision-maker	ผู้ตัดสินใจ
follower	ผู้ตาม
appointer	ผู้แต่งตั้ง
spokesperson	ผู้แถลงข่าว
experimenter	ผู้ทดลอง
influential person	ผู้ทรงอิทธิพล
destroyer	ผู้ทำลาย
instigator	ผู้บงการ
executive	ผู้บริหารงาน
government administrator	ผู้บริหารประเทศ
chief	ผู้บัญชา
inspirer	ผู้บันดาล
recorder	ผู้บันทึก
executor	ผู้ปฏิบัติการ
trader	ผู้ประกอบการค้า
businessperson	ผู้ประกอบธุรกิจ
protester	ผู้ประท้วง
author	ผู้ประพันธ์
bidder	ผู้ประมูล
coordinator	ผู้ประสานงาน
reformer	ผู้ปรับปรุง
mistaken person	ผู้ผิด
watcher	ผู้พบเห็น
developer	ผู้พัฒนา
loser	ผู้พ่ายแพ้
one who consider carefully	ผู้พิจารณา
loyalist	ผู้ภักดี
wealthy person	ผู้มั่งคั่ง
new-comer	ผู้มาใหม่
pauper	ผู้ยากไร้
borrower	ผู้ยืม
attendee at a meeting	ผู้ร่วมประชุม
cooperator	ผู้ร่วมมือ
participant in a show	ผู้ร่วมรายการ
complainer	ผู้ร้องทุกข์
survivor	ผู้รอดชีวิต
one acting temporarily in place of	ผู้รักษาการ
receiver	ผู้รับ
servant	ผู้รับใช้
one carrying a burden	ผู้รับภาระ
reporter	ผู้รายงาน
witness	ผู้รู้เห็นเหตุการณ์
initiator	ผู้เริ่มต้น
one who demands	ผู้เรียกร้อง
learner	ผู้เรียนรู้
endorser	ผู้ลงนาม
doer	ผู้ลงมือ
candidate	ผู้ลงรับเลือกตั้ง
the deceased	ผู้ล่วงลับ
violator	ผู้ละเมิด
narrator	ผู้เล่าเรื่อง
one who looks after	ผู้เลี้ยงดู
takes care of	ผู้เลี้ยงดู
examination candidate	ผู้สมัครสอบ
successor	ผู้สืบต่อ
addict	ผู้เสพติด
well-wisher	ผู้หวังดี
one who is cruel	ผู้เหี้ยมโหด
one who approves	ผู้อนุมัติ
controlee	ผู้อยู่ใต้บังคับบัญชา
commander	ผู้ออกคำสั่ง
weakling	ผู้อ่อนแอ
one who is unlucky	ผู้อาภัพ
supporter	ผู้อุปถัมภ์ค้ำชู
an honor person	ผู้ทรงเกียรติ
government leader	ผู้นำรัฐบาล
one who earns his	ผู้ประกอบอาชีพ
her living	ผู้ประกอบอาชีพ
royal representative	ผู้แทนพระองค์
campaign poster	ป้ายหาเสียง
plan	ผังงาน
member of the royal family	พระบรมวงศานุวงศ์
importer	ผู้นำเข้า
royal guidance	พระบรมราโชวาท
tutelage	พระบรมราโชวาท
life of the Buddha	พระพุทธประวัติ
Buddha's proverbs	พระพุทธภาษิต
Buddha's mantra	พระพุทธมนต์
waver	พลิ้วไหว
sacrifice one's life	พลีชีพ
be identical	พ้องต้องกัน
briefly	พอสังเขป
go for a change of air	พักตากอากาศ
collapse	พังครืน
disintegrate	พังครืน
good God	พับผ่า
be puzzled	พิศวงงงงวย
should be done	พึงกระทำ
rely on oneself	พึ่งตัวเอง
be supposed to	พึงมี
local	พื้นถิ่น
local area	พื้นถิ่น
grassland	พื้นหญ้า
direct	พุ่งตรง
get to the point	พุ่งประเด็น
soar	พุ่งพรวด
dart	พุ่งพรวด
be agitated	พุ่งพล่าน
Buddhist moral code	พุทธธรรม
Buddhist philosophy	พุทธปรัชญา
Buddhist diocese	พุทธมณฑล
Lord Buddha	พุทโธ
sky	ฟากฟ้า
the southern part	ภาคใต้
the northern part	ภาคเหนือ
the north-eastern part	ภาคอีสาน
image	ภาพพจน์
beneath	ภายใต้
at heart	ภายในใจ
duty	ภาระหน้าที่
import duty	ภาษีนำเข้า
motor-vehicle tax	ภาษีรถยนต์
dying	มรณะ
die	มรณะ
pollution	มลพิษ
contamination	มลภาวะ
roll	มวน
be colicky	มวน
roll	มวน
cruelly	มหาโหด
watch	มองดู
fail to see	มองไม่เห็น
have the perspective of	มองโลก
think	มองว่า
burn out	มอดไหม้
authorize	มอบอำนาจ
often	มัก
lower secondary school	มัธยมต้น
upper secondary school	มัธยมปลาย
strengthen	มั่นคงแข็งแรง
permanently	มั่นคงถาวร
last	มั่นคงถาวร
French fries	มันฝรั่งทอด
glitter	มันวาว
confidently	มั่นอกมั่นใจ
be confident	มั่นอกมั่นใจ
confident	มาดมั่น
intend	มาดมั่น
always	มาโดยตลอด
universal standard	มาตรฐานสากล
idol	มิ่งขวัญ
be inappropriate	มิบังควร
milligram	มิลลิกรัม
millimeter	มิลลิเมตร
be plump	มีเนื้อมีหนัง
customarily	มีแบบแผน
plan	มีแผน
be high class	มีระดับ
systematically	มีระบบ
orderly	มีระเบียบ
be orderly	มีระเบียบ
be colorful	มีสีสัน
colorful	มีสีสัน
have a circle of friends	มีเส้นมีสาย
reason	มีเหตุมีผล
pitch-dark	มืดทึบ
accurate	มือฉมัง
left hand	มือซ้าย
skillful	มือดี
professional	มือโปร
emphasize	มุ่งเน้น
dung	มูลสัตว์
promote	ยกฐานะ
highly popular	ยอดนิยม
yield	ยอมให้
make eyes at	ยักคิ้วหลิ่วตา
search for a remedy	ยักย้ายถ่ายเท
shrug one's shoulder	ยักไหล่
retailer	พ่อค้าปลีก
travelling salesman	พ่อค้าเร่
unapprehended thief	มือดี
professional	มือโปร
amateur	มือสมัครเล่น
amateur	มือสมัครเล่น
cellphone	มือถือ
backyard garden	พืชผักสวนครัว
florae	พืชพรรณ
rotated crops	พืชหมุนเวียน
breeder	พ่อพันธุ์
table fan	พัดลมตั้งโต๊ะ
orange bug	มวน
meter	มาตรวัด
prince	พระบรมวงศ์เธอ
princess	พระบรมวงศ์เธอ
composite picture	ภาพซ้อน
illusion	ภาพมายา
state	มลรัฐ
defensive measure	มาตรการป้องกัน
treetop	ยอดไม้
exporter	พ่อค้าส่งออก
TV movie	ภาพยนตร์โทรทัศน์
world-class	ระดับโลก
at the beginning	ระยะแรก
work together	ร่วมงาน
join	ร่วมวง
secret code	รหัสลับ
support	รองรับ
be cautious	รอบคอบ
carefully	รอบคอบ
summarize	รวมความ
mix	ระคน
fast	รวดเร็วทันใจ
thrilling	ระทึกขวัญ
nervous system	ระบบประสาท
paint	ระบายสี
be in order	ระเบียบเรียบร้อย
distance	ระยะทาง
at the moment	ระยะนี้
turn back	ย้อนกลับ
smile	รอยยิ้ม
sedative	ยาระงับประสาท
cause	ยังผล
wrinkled	ยับยู่ยี่
be hard	ยาก
be very difficult	ยากเย็น
herbicide	ยากำจัดวัชพืช
tonic	ยาบำรุง
antibiotic	ยาปฏิชีวนะ
attend a ceremony	ร่วมงาน
migrate	ย้ายถิ่น
short-term	ระยะสั้น
the best medicine	ยาวิเศษ
adhere to	ยึดติด
dark age	ยุคมืด
water	รดน้ำต้นไม้
diesel train	รถไฟดีเซลราง
tricycle	รถสามล้อถีบ
fall	ร่วงหล่น
herbicide	ยาปราบศัตรูพืช
surround	รายล้อม
long-term	ระยะยาว
throne	ราชบัลลังก์
throne	ราชบัลลังก์
royal tradition	ราชประเพณี
intention	ราชประสงค์
royal ceremony	ราชพิธี
smoothly	ราบเรียบ
list	รายชื่อ
volunteer	รับอาสา
course	รายวิชา
major	รายใหญ่
pore	รูขุมขน
see through someone's trick	รู้เท่าทัน
exactly know	รู้แน่แก่ใจ
case	รูปคดี
photograph	รูปถ่าย
smooth	ราบเรียบ
love triangle	รักสามเส้า
later	ระยะหลัง
space	ระยะห่าง
be alert	ระวังตัว
punishment	ระวางโทษ
be  treated	รักษาตัว
take care of oneself	รักษาตัว
treat	รักษาพยาบาล
Royal Institute	ราชบัณฑิตยสถาน
save one's face	รักษาหน้า
know	รู้เรื่องราว
promise	รับคำ
be invited	รับเชิญ
be punished	รับโทษ
gain an advantage	รับประโยชน์
admit one's mistake	รับผิด
enrol	รับสมัคร
welcome	รับเสด็จ
cure	รักษาโรค
physically help	ร่วมแรง
wander	ร่อนเร่
poem	ร่ายยาว
talk long in details	ร่ายยาว
apply for a candidate	ลงสมัคร
decrease adamant	ลดลาวาศอก
reduce a punishment	ลดหย่อนผ่อนโทษ
immeasurably	ล้นพ้น
turn over a board	ล้มกระดาน
deeply question	ล้วงลึก
float	ลอยคว้าง
have no obligation	ลอยตัว
float	ลอยตัว
float throughout	ลอยฟ่อง
tease	ล้อเล่น
violate copyright	ละเมิดสิทธิ์
have a short cut	ลัดเลาะ
behind	ลับหลัง
out of sight	ลับหูลับตา
wash dishes	ล้างจาน
eliminate	ล้างบาง
devastate	ล้างผลาญ
wash a car	ล้างรถ
deep	ล้ำลึก
far apart	ลิบ
exorbitant	ลิบลิ่ว
forceful	ลึกล้ำ
open eyes	ลืมตา
completely forget	ลืมสนิท
prudent	ลุ่มลึก
track	ลู่
be blown	ลู่
wide area	วงกว้าง
work cycle	วงงาน
meeting	วงประชุม
government setting	วงราชการ
word used to end an expression but impolite	ว่ะ
same day	วันเดียวกัน
construction materials	วัสดุก่อสร้าง
plan	วางแผนการ
imagine	วาดหวัง
swim	ว่าย
misery from bad deeds	วิบากกรรม
bravery	วีรกรรม
pest	ศัตรูพืช
still	สงบนิ่ง
peacefully	สงบสุข
architecture	สถาปัตยกรรมศาสตร์
magnetic field	สนามแม่เหล็ก
trustfully	สนิทใจ
entertainingly	สนุกปาก
be pleased with	สบอารมณ์
join donating	สมทบทุน
complete	สมบูรณ์แบบ
comfortable	สมบูรณ์พูนสุข
properly	สมวัย
apply for a job	สมัครงาน
intestine	ลำไส้
procedure	ลำดับขั้น
medium	ร่างทรง
homosexual	ลักเพศ
terminology	ศัพท์บัญญัติ
Sakon Nakhon	สกลนคร
parking lot	ลานจอดรถ
religious place	ศาสนสถาน
lip stick	ลิปสติก
florist's	ร้านขายดอกไม้
sticker	สติ๊กเกอร์
play performed by all male	ละครนอก
play performed by all female	ละครใน
series on TV	ละครทีวี
Thai painting	ลายไทย
legal profession	วงการกฎหมาย
military	วงการทหาร
diplomatic circles	วงการทูต
airline industry	วงการบิน
medical profession	วงการแพทย์
political quarters	วงการเมือง
religious circles	วงการศาสนา
art circles	วงการศิลปะ
economic sector	วงการเศรษฐกิจ
future	วันข้างหน้า
someday	วันใด
today	วันนี้
last day	วันสุดท้าย
someday	วันหนึ่ง
future	วันหลัง
wild age	วัยคะนอง
adult age	วัยผู้ใหญ่
childhood years	วัยเยาว์
studying age	วัยเรียน
teen-age	วัยหนุ่มวัยสาว
radio station	สถานีวิทยุกระจายเสียง
family unit	สถาบันครอบครัว
research institute	สถาบันวิจัย
social institute	สถาบันสังคม
racecourse	สนามม้าแข่ง
shooting gallery	สนามยิงปืน
entertainment spot	สถานบริการ
treatment area	สถานบำบัด
orphanage	สถานเลี้ยงเด็กกำพร้า
foster home	สถานสงเคราะห์
massage parlor	สถานอาบอบนวด
offering	เครื่องเซ่นไหว้
punctuation mark	เครื่องหมายวรรคตอน
wage	เงินค่าจ้าง
humble	เจียมตน
cut to the heart of	เชือดเฉือน
baby	เด็กน้อย
Sharea obtusa	เต็ง
favorite	เต็ง
totally	เต็มเปา
stove	เตา
kiln	เตาเผา
fulfill	เติมเต็ม
bed	เตียงนอน
god	เทพ
force to pass faeces	เบ่ง
flex	เบ่ง
flex one's power	เบ่ง
mouth the word	เบ่ง
speed	เบ่ง
lower level	เบื้องล่าง
lower area	เบื้องล่าง
hidden agenda	เบื้องลึก
superior	เบื้องสูง
be compared as	เปรียบเสมือน
burning sunshine	เปลวแดด
metamorphose	เปลี่ยนรูปเปลี่ยนร่าง
feel lonely	เปลี่ยวเหงา
let someone	เปิดช่อง
something enter	เปิดช่อง
let someone have a chance	เปิดทาง
adopt	เปิดรับ
admit	เปิดรับ
wage war	เปิดศึก
soak	เปียกโชก
root	หยั่งราก
penetrate deeply	หยั่งลึก
divorce	หย่าขาด
rough	หยาบกร้าน
offer	หยิบยื่น
moisten	หล่อเลี้ยง
provide nourishment	หล่อเลี้ยง
preach	หล่อหลอม
theory	หลักวิชาการ
grave	หลุมศพ
be concerned with	ห่วงหาอาทร
return	หวนคืน
illegal lottery	หวยใต้ดิน
be afraid	หวั่นวิตก
slow train	หวานเย็น
slow train	หวานเย็น
scream	หวีดร้อง
whistlingly	หวีดหวิว
wrap a present	ห่อของขวัญ
public library	ห้องสมุดประชาชน
steamed fish with curry paste	ห่อหมก
deduct	หักลบ
cholera	ห่า
shower of rain	ห่า
Damn you!	ห่า
unawarely	หารู้ไม่
husky	ห้าว
brave	ห้าว
campaign	หาเสียง
go hunting	หาอาหาร
crave for rice	หิวข้าว
hunger for	หิวโหย
asthma	หืดหอบ
starve to death	อดตาย
not sleep at all	อดหลับอดนอน
multi-purpose	อเนกประสงค์
feel comforted	อบอุ่นใจ
defend	ออกตัว
be newly sold	ออกตัว
be young	อ่อนเยาว์
on line	ออนไลน์
be young	อ่อนวัย
blown	อ่อนไหว
sensible	อ่อนไหว
reservoir	อ่างเก็บน้ำ
claim	อ้างว่า
territory	อาณาจักร
territory	อาณาจักร
read one's mind	อ่านใจ
read	อ่านหนังสือ
bribery	อามิสสินจ้าง
seize	อายัดทรัพย์
delicatessen	อาหารสำเร็จรูป
supplementary food	อาหารเสริม
facilitate	อำนวยความสะดวก
glow with happiness	อิ่มเอิบ
ubosot	อุโบสถ
pray in every fortnight	อุโบสถ
ubosot	อุโบสถ
Buddhist holy day	อุโบสถ
support	อุปถัมภ์ค้ำชู
habit	อุปนิสัย
consume	อุปโภค
Chinese belief of how to locate a building	ฮวงจุ้ย
come to terms	ฮั้ว
hard disk	ฮาร์ดดิสก์
hardware	ฮาร์ดแวร์
Hindu	ฮินดู
Hinduism	ฮินดู
tape	เทป
cigarette butt	ก้นกรอง
reserve money	ก้นถุง
giggle mirthfully	กระดี๊กระด๊า
meet	กระทบไหล่
sarcastically	กระแทกแดกดัน
sarcastic	กระแทกแดกดัน
lose all one's money	กระเป๋าฉีก
hurry	กระวีกระวาด
train of thought	กระแสความคิด
current account	กระแสรายวัน
scream	กรี๊ดสลบ
trick	กลเม็ดเด็ดพราย
die	กลับบ้านเก่า
go back on one's word	กลืนน้ำลายตัวเอง
annoy	กวนเมือง
irritate	กวนโอ๊ย
party	กองทัพมด
pile up	กองพะเนินเทินทึก
take action seriously	กัดไม่ปล่อย
one of us	กากี่นั้ง
guard	การ์ด
guard	การ์ด
card	การ์ด
greeting card	การ์ด
guarantee	การันตี
glue	กาวใจ
indistinctively	กำปั้นทุบดิน
poor	กิ๊กก๊อก
worry	เก๊กซิม
check	เก็บงาน
hide the feeling	เก็บอาการ
Gay Queen	เกย์ควีน
Gay King	เกย์คิง
very old	เก๋ากึ๊ก
son-of-a bitch	เก๋าเจ้ง
musical chairs	เก้าอี้ดนตรี
electric chair	เก้าอี้ไฟฟ้า
too	เกินแกง
sound of door clicking	แก๊ก
joke	แก๊ก
mainstay	แกนนำ
crunch	ขบเคี้ยว
dregs of society	ขยะสังคม
amplify	ขยายเสียง
be frightened	ขวัญกระเจิง
token of a bride and bridegroom's respect	ของรับไหว้
ask for forgiveness	ขออโหสิ
direct sale	ขายตรง
rice gruel	ข้าวต้มกุ๊ย
rice congee mixed with meat	ข้าวต้มเครื่อง
be a crybaby	ขี้แง
weepy	ขี้แง
lie	ขี้จุ๊
deceitful	ขี้ฉ้อตอแหล
deceive	ขี้ฉ้อตอแหล
dust on the foot or sole	ขี้ตีน
be apt to make false claims	ขี้ตู่
dirt on hands	ขี้มือ
drunken	ขี้เมาหยำเป
be dead drunk	ขี้เมาหยำเป
saw dust	ขี้เลื่อย
dull	ขี้เลื่อย
trivial	ขี้หมูราขี้หมาแห้ง
carry  on one's neck	ขึ้นคอ
be sent to press	ขึ้นแป้น
hold the championship	ขึ้นแป้น
be embedded in one's memory	ขึ้นสมอง
enter one's brain	ขึ้นสมอง
satisfy the committee	เข้าตากรรมการ
be able to achieve one's aim	เข้าเป้า
proceed according to one's plan	เข้าแผน
be tricky	เขี้ยวลากดิน
tricky	เขี้ยวลากดิน
resist	แข็งขืน
rise	แข็งค่า
motto	คติประจำตัว
one of us	คนกันเอง
philanthropist	คนใจบุญ
frisk	ค้นตัว
diligent person	คนทำมาหากิน
devil	คนผีทะเล
soldier	คนมีสี
loser	คนหลักลอย
deceiver	คนหากิน
be not worth associating with	คบไม่ได้
be complete	ครบบริบูรณ์
full	ครบสามสิบสอง
cry over	ครวญคร่ำ
sing	ครวญเพลง
be still an unmarried person	ครองความเป็นโสด
be still an unmarried woman	ครองความสาว
occupy	ครองอำนาจ
Thai sacred ceremony to indoctrinate the art pupils	ครอบครู
next time	ครั้งหน้า
the past	ครั้งหลัง
next time	ครั้งหลัง
yes	ครับผม
when	คราใด
at that time	ครานั้น
next time	คราวหน้าคราวหลัง
be very cloudy	ครึ้มฟ้าครึ้มฝน
sound of dragging heavy things	ครืดคราด
treasury	คลังสมบัติ
knowledge source	คลังสมอง
brains	คลังสมอง
arsenal	คลังสรรพาวุธ
delay	คลาดเวลา
classical	คลาสสิก
classic	คลาสสิก
new wave	คลื่นลูกใหม่
fall and roll on the ground	คลุกฝุ่น
pay	ควักกระเป๋า
lose	ควักเนื้อ
almost the whole night	ค่อนคืน
condom	คอนดอม
contact lens	คอนแทคเลนส์
almost the whole day	ค่อนวัน
reproach intentionally	ค่อนว่า
wait for the right moment	คอยจังหวะ
court	คอร์ต
court	คอร์ต
course	คอร์ส
columnist	คอลัมนิสต์
movie fan	คอหนัง
leatherneck	คอหนัง
choose	คัดตัว
penmanship in Thai language	คัดไทย
write one's penmanship in Thai language	คัดไทย
