english	thai	paiboon
on the other hand	ในอีกกรณีหนึ่ง	nai-iik-ga-nii-nʉ̀ng
oral drug	ยากิน	yaa-gin
outside the Kingdom	นอกราชอาณาจักร	nɔ̀ɔk-raat-chaa-aa-naa-jak
outside the scope of	นอกขอบเขต	nɔ̂ɔk-kɔ̀ɔp-kèet
person in authority	ผู้มีอำนาจตามกฎหมาย	phûu-mii-am-naad-dtaam-gòd-máai
political economy	เศรษฐศาสตร์การเมือง	sèt-ta-sàat-gaan-mʉaŋ
political ideology	อุดมการณ์ทางการเมือง	u-dom-gaan-thaang-gaan-mʉaŋ
political institution	สถาบันทางการเมือง	sà-tǎa-ban-taaŋ-gaan-mʉaŋ
political liberty	เสรีภาพทางการเมือง	sə-rii-pâap-taaŋ-gaan-məəŋ
political science	รัฐศาสตร์	rát-sàat
quote	อ้างคำพูด	ʻâaŋ-kam-pûut
recover damage	เรียกค่าเสียหาย	riag-kâa-sǐa-haai
root	รากศัพท์	raa-kàp
seriously injured	บาดเจ็บสาหัส	bàat-jèp-sǎa-hàt
sleeping pill	ยานอนหลับ	yaa-non-làp
state agency	หน่วยงานรัฐ	nùay-ngaan-rát
vanishing cream	ยาทา	yaa-taa
piercing	คมเข้ม	kom-kêm
remain conscious	ครองสติ	krɔɔŋ-sà-dì
single family	ครอบครัวเดี่ยว	krôop-krua-dìao
be crowded with	คราคร่ำ	kraa-kràm
luxury	ความโก้หรู	kwaam-góo-ruu
closeness	ความใกล้ชิด	kwaam-gài-chit
strength	ความเข้มแข็ง	kwaam-kêm-kɛ̌ng
fame	ความเด่นดัง	kwaam-dèn-daŋ
implication	ความนัย	kwaam-nai
possibility	ความเป็นไป	kwaam-bpen-bpai
sufficiency	ความพอดี	kwaam-pɔɔ-dii
simplicity	ความเรียบง่าย	kwaam-riap-ngaay
importance	ความสำคัญ	kwaam-sam-khan
gentleness	ความสุภาพ	khwaam-su-phaap
variety	ความหลากหลาย	kwaam-làak-làay
sweetness	ความหวาน	kwaam-wǎan
exploitation	ความเห็นแก่ได้	kwaam-hèn-gɛ̀-dâi
selfishness	ความเห็นแก่ตัว	kwaam-hèn-gɛ̀-dtua
difference	ความเหลื่อมล้ำ	kwaam-lʉ̀am-lám
warmth	ความอบอุ่น	kwaam-òp-ùn
warmth	ความอบอุ่น	khwaam-òp-ùn
weakness	ความอ่อนแอ	kwaam-ɔ̀ɔn-ɛɛ
weakness	ความอ่อนแอ	kwaam-ɔ̀ɔn-ɛɛ
telephone bill	ค่าโทรศัพท์	kâa-too-rá-sàp
electricity bill	ค่าไฟฟ้า	kâa-fai-fáa
excuse	คำขอโทษ	kam-kɔ̌ɔ-toot
thank	คำขอบคุณ	kam-kɔ̀ɔp-kun
answer	คำขานรับ	kam-khaan-rab
rumor	คำครหา	kam-krá-hǎa
income tax	ภาษีเงินได้	paa-sǐi-ngən-dâi
local maintenance tax	ภาษีบำรุงท้องที่	paa-sǐi-bam-ruŋ-tóŋ-tîi
death tax	ภาษีมรดก	paa-sǐi-mon-dòk
value added tax	ภาษีมูลค่าเพิ่ม	paa-sǐi-muun-kâa-pə̂əm
income tax	ภาษีรายได้	paa-sǐi-raai-dai
property tax	ภาษีโรงเรือนและที่ดิน	paa-sǐi-rooŋ-rʉan-lɛ̀-tîi-
tariff	ภาษีศุลกากร	paa-sǐi-sun-lá-gaan
light	ภาส	páas
sun	ภาสกร	paa-sà-gɔɔn
speaking	ภาสน์	pâat
begged food	ภิกขา	pík-khǎa
begging for  food	ภิกขา	pík-kǎa
begging of food	ภิกขาจาร	pík-kǎa-jaan
begged food	ภิกขาหาร	pík-kǎa-hǎan
Buddhist monk	ภิกขุ	pík-ku
female Buddhist monk	ภิกขุนี	pík-kù-nii
begging of food	ภิกษา	pík-sǎa
begged food	ภิกษา	pík-sǎa
begged food	ภิกษาหาร	pík-sǎa-hǎan
Buddhist monk	ภิกษุสงฆ์	pík-sù-soŋ
more and more	ภิญโญ	pín-yoo
higher excellence	ภิญโญภาพ	píŋ-yoo-pâap
wall	ภิตติ	pít-dtì
destroy	ภินท์	pín
act of breaking or destroying	ภินทนาการ	pín-tá-naa-gaan
dreadful	ภีม	píim
cowardly	ภีรุกชาติ	píi-rúk-chàat
bee	ภุมระ	pum-rá
coral	ภุมรัตน์	púm-rat
bee	ภุมรา	pum-raa
bee	ภุมริน	pú-min
bee	ภุมรี	pum-rii
bee	ภุมเรศ	pum-rêet
Phuket	ภูเก็ต	pú-gèt
iceberg	ภูเขาน้ำแข็ง	puu-kǎao-náam-kɛ̌ng
volcano	ภูเขาไฟ	puu-kao-fai
like a mountain	ภูเขาเลากา	puu-kao-lao-gaa
earth	ภูดล	puu-don
spirit	ภูต	púut
Siva	ภูตบดี	pʉ́t-bɔ-dii
ghost	ภูตผีปิศาจ	pút-pǐi-bpì-sǎat
taboo	คำต้องห้าม	kam-dtɔ̂ɔŋ-hâam
warning word	คำตักเตือน	kam-dtàk-dtʉan
full word	คำเต็ม	kam-dtèm
complaint	คำร้องเรียน	kam-rɔ́ɔŋ-rian
obscene word	คำลามก	kam-laa-m
request	คำวิงวอน	kam-wiŋ-wɔɔn
contempt	คำสบประมาท	kam-sòp-bpra-maat
financial budget	งบการเงิน	ngop-gaan-ngin
annual government statement of expenditure	งบประมาณแผ่นดิน	ngob-bpra-maan-pɛ̀ɛn-din
general affairs	งานธุรการ	ngaan-tú-rá-gaan
exhibition	งานนิทรรศการ	ngaan-ní-tan-sà-gaan
sculpture	งานประติมากรรม	ngaan-bpra-dtì-maa-gam
poetry	งานประพันธ์	ngaan-bpra-pan
craft	งานฝีมือ	ngaan-fii-mʉʉ
auspicious ceremony	งานมงคล	ngaan-moŋ-kon
art work	งานศิลปกรรม	ngaan-sìn-bpà-gam
teaching task	งานสอน	ngaan-sɔɔn
voluntaries	งานอาสาสมัคร	ngaan-aa-saa-sà-mak
graceful	งามสง่า	ngaam-sǔng-aa
take  notes	จดบันทึก	jòd-ban-tʉ̀k
television set	จอรับภาพ	jɔɔ-rap-paap
store	จัดเก็บ	jàt-gèp
levy	จัดเก็บ	jàt-gèp
distribute	จัดจำหน่าย	jàt-jam-nàai
organize	จัดระเบียบ	jàt-rá-bia̍p
watch	จับจ้อง	jàp-jɔ́ɔng
impress	จับอกจับใจ	jàp-ok-jàp-jai
from this moment	จากนี้	jàak-nîi
employ	จ้างงาน	jâang-ngaan
good point	จุดดี	jùd-dii
certain session	ช่วงใดช่วงหนึ่ง	chûang-dai-chûang-nʉ̀ng
span of age	ช่วงอายุ	chûaŋ-aa-yu
persuade	ชักจูงใจ	chák-juuŋ-jai
subordinate	ชั้นผู้น้อย	chán-phûu-nói
Let it be!	ช่างมันเถอะ	chàaŋ-man-thə̀
past life	ชาติปางก่อน	chaa-dtì-bpaaŋ-gɔ̀ɔn
powerful country	ชาติมหาอำนาจ	chaa-dt-má-hǎa-am-naat
rustic	ชาวชนบท	chao-chon-bòt
clear work	ชำระสะสาง	chàm-rá-sà-saaŋ
apron	ชุดกันเปื้อน	chut-gan-bpʉ̂an
be impressed with	ซึ้งใจ	sʉ̂ng-jai
embed one's fame	ซึมลึก	sʉm-lʉ́k
be stupid	ซื่อบื้อ	sʉ̂ʉ-bʉ̂ʉ
buy some time	ซื้อเวลา	súa-wee-laa
buy votes	ซื้อเสียง	súa-siaŋ
consequently	ด้วยเหตุฉะนี้	dûay-hèd-cha-nîi
fresh flower	ดอกไม้สด	dɔ̀k-mái-sòd
dry flower	ดอกไม้แห้ง	dɔ̀k-máai-hɛ̂ŋ
devalue	ด้อยค่า	dɔ́ɔi-khaa
have no chance	ด้อยโอกาส	dɔ́ɔy-oo-gaas
expect	ดังใจ	daŋ-jai
adapt	ดัดแปลงแก้ไข	dàt-bplɛɛŋ-gɛ́ɛ-khai
scold	ด่าว่า	dâao-wâa
take a position of	ดำรงตำแหน่ง	dam-roŋ-dtam-hɛ̀ŋ
late night	ดึกสงัด	dʉ̀k-sà-ŋàt
ceaselessly	ดุ๊กดิ๊ก	dúk-díik
furiously	ดุเด็ดเผ็ดมัน	du-dèt-pèt-man
furiously	ดุเดือดเลือดพล่าน	du-dʉ̂at-lʉ̂at-plâan
watch television	ดูโทรทัศน์	duu-too-rá-tàt
take care of	ดูแลเอาใจใส่	duu-lɛɛ-ao-jai-sai
confess	ตกกระไดพลอยโจน	dtòk-gra-dai-plɔɔi-joon
be in trouble	ตกที่นั่งลำบาก	dtòk-tîi-nâŋ-lam-bàak
sink	ตกน้ำ	dtòk-náam
derail	ตกราง	dtòk-raang
direct to the point	ตรงจุด	dtroŋ-jùd
as long as	ตราบใด	dtràap-dai
world market	ตลาดโลก	dtà-làat-look
allege	ตั้งข้อหา	dtâŋ-kɔ̂ɔ-hǎa
deforest	ตัดไม้ทำลายป่า	dtàt-máai-tam-laai-bpàa
life-size	ตัวจริง	dtua-jiŋ
on ground player	ตัวจริง	dtua-jiŋ
successor	ตัวตายตัวแทน	dtua-dtaai-dtua-tɛɛn
hindrance	ตัวถ่วง	dtua-tuaŋ
author	คนเขียน	kon-kǐan
department store	ดีพาร์ทเมนต์สโตร์	dii-paat-men-sà-dtoo
beginning of month	ต้นเดือน	dtôn-dʉan
soup	ต้มจืด	dtôm-jʉ̀ʉd
pose a question	ตั้งคำถาม	dtâŋ-kam-tǎam
establish oneself	ตั้งเนื้อตั้งตัว	dtâŋ-nʉ́a-dtâŋ-dtua
prepare	ตั้งเนื้อตั้งตัว	dtâŋ-nʉ́a-dtâŋ-dtua
set a standard	ตั้งมาตรฐาน	dtâŋ-maa-dtràt-tǎan
dry clothes in the sun	ตากผ้า	dtaa-pâa
die en mass	ตายหมู่	dtaai-mùu
square wah	ตารางวา	dtaa-raaŋ-waa
creator	ตำรับ	dtam-rup
text	ตำรับ	dtam-rup
ask for information	ติดต่อสอบถาม	dtìd-dtɔ̀-sɔ̂ɔp-tǎam
interpret	ตีความหมาย	dtii-kwaam-maai
appraise	ตีค่า	dtii-kâa
turn around	ตีโค้ง	dtii-kóoŋ
improve	ตีตื้น	dtii-dtʉ̂n
high-rise building	ตึกสูง	dtʉ̂g-suuŋ
file cabinet	ตู้เก็บเอกสาร	dtùu-gèp-èek-sǎan
Automatic Teller Machine	ตู้เอทีเอ็ม	dtû-ee-dtii-èm
disrespect someone	ถอนหงอก	tɔ̀ɔn-ngɔ̀ɔk
be modest	ถ่อมตน	tɔ̀ɔm-dton
idiomatic wording	ถ้อยคำสำนวน	tɔ̂ɔi-kam-sam-nuan
strike	ถั่งโถม	tàŋ-tôm
embers	ถ่านไฟ	tàan-fai
charcoal	ถ่านไม้	tàan-máai
transcribe	ถ่ายเสียง	tàai-siaŋ
if	ถ้าหาก	thâa-hàak
cause death	ถึงแก่ชีวิต	tʉ̌ng-gɛ̀-chii-wit
be held to be	ถือได้ว่า	tʉ̌ɔ-dâi-wâa
hold oneself to be	ถือตน	tʉ̌u-dton
touch someone	ถูกเนื้อต้องตัว	tùug-nʉ́a-dtɔŋ-dtua
be valuable	ทรงคุณค่า	song-kun-kâa
be of good quality	ทรงคุณภาพ	song-kun-phaap
be in a state of	ทรงสภาพ	song-sà-páp
trust company	ทรัสต์	tá-sàt
gold ornament	ทองคำรูปพรรณ	tong-kam-rûup-pan
business registration	ทะเบียนการค้า	tá-bian-gaan-káa
patient's record	ทะเบียนคนไข้	tha-bian-kon-kai
motor vehicle registration	ทะเบียนรถ	ta-bian-rót
route of descent	ทางลง	taang-long
secret passageway	ทางลับ	taang-lap
do housework	ทำงานบ้าน	tam-ngaan-bâan
likewise	ทำนองเดียวกับ	tam-naong-diiao-gap
golden location	ทำเลทอง	tam-lee-tɔɔŋ
preceding	ที่ผ่านมา	tîi-pàan-maa
work team	ทีมงาน	tii-m-ngaan
unseen place	ที่ลับตา	tîi-làp-dtaa
every aspect	ทุกแง่ทุกมุม	túk-ɛ̀ɛŋ túk-múm
every kind	ทุกชนิด	túk-cha-nít
every side	ทุกฝ่าย	túk-fàai
everyone	ทุกราย	túk-raay
sweetened condensed milk	นมข้นหวาน	nom-kʰân-wǎan
UHT-treated milk	นมยูเอชที	nom-yuu-ee-chii
younger brother-in-law	น้องเขย	nɔ́ɔŋ-kǎy
DJ	นักจัดรายการ	nák-jàt-raa-gaan
reformer	นักปฏิรูป	nák-bpà-dtì-rûup
philosopher	นักปรัชญา	nák-bpratchaa
Yes, quite so.	นั่นสิ	nân-sì
count votes	นับคะแนน	nap-ka-naen
be respectable	น่าเคารพนับถือ	nâa-kao-róp-náp-tʉ̌u
breathtaking	น่าใจหาย	nâa-jai-haai
quite long	นานโข	naan-kǒo
wait expectantly	น่าลุ้น	nâa-lûn
trustworthy	น่าไว้ใจ	nâa-wái-jai
faithful	น่าศรัทธา	nâa-sàt-taa
enjoyable	น่าสนุก	nâa-sà-nùk
sorrowful	น่าสลดใจ	nâa-sòn-jai
worrying	น่าหนักใจ	nâa-nàk-jai
fascinating	น่าหลงใหล	nâa-long-lai
scary	น่าหวาดกลัว	nâa-wàat-glua
thrilling	น่าหวาดเสียว	nâa-wàat-sǐao
funny	น่าหัวเราะ	nâa-hǔa-rɔ̂ɔ
shamefully	น่าอัปยศอดสู	nâa-ap-pá-yót-òt-sǔu
be enjoyable to read	น่าอ่าน	nâa-àan
tediously	น่าเอือมระอา	nâa-ʉam-rá-aa
ice water	น้ำแข็งเปล่า	nám-kɛ̌ng-bplào
cold water	น้ำเย็น	nám-yen
hot water	น้ำร้อน	nám-rɔ́ɔn
clean water	น้ำสะอาด	náam-sà-àat
someone like you	น้ำหน้า	nám-náa
be at ease	นิ่งนอนใจ	niŋ-nɔɔn-jai
privilege	บัตรแข็ง	bàt-kɛ̌ng
parking pass	บัตรจอดรถ	bàt-jɔɔd-rót
ID card	บัตรประชาชน	bàt-bpra-chaa-chon
catalogue card	บัตรรายการ	bàt-rai-gaan
voided ballot	บัตรเสีย	bàt-sǐa
temporary ID card	บัตรเหลือง	bàt-lʉ̌aŋ
some aspects	บางประการ	baang-bprá-gaan
some issues	บางประเด็น	baang-bpra-dèn
some people	บางราย	baaŋ-raay
engage in business	ประกอบการ	bpra-gɔ̀ɔp-gaan
run a business	ประกอบธุรกิจ	bpà-gɔ̀ɔp-tuu-rá-gìt
declare oneself	ประกาศตัว	bpà-gaàt-dua
sustain oneself	ประคองตัว	bprà-kɔɔŋ-dtua
reinvigorate oneself	ประคองตัว	bpra-kɔɔŋ-dtua
adhere to	ประจำใจ	bpra-jam-jai
enrich one's mind	ประเทืองปัญญา	bpra-tʉaŋ-bpan-yaa
behave well	ประพฤติชอบ	bpra-prʉ́t-chɔ̀ɔp
behave oneself	ประพฤติตน	bprà-prʉ̂t-dton
misbehave	ประพฤติมิชอบ	bprà-prʉ́t-mí-chɔ̂ɔp
folk custom	ประเพณีพื้นบ้าน	bpra-pee-nii-pʉ̂un-bâan
rejoice at	ปลื้มปิติ	bplʉ́ʉm-bpi-dtì
over	ปลื้มปิติ	bplʉ́ʉm-bpi-dtì
gambler	นักพนัน	nák-pá-nan
all the people	ปวงประชา	bpuaŋ-bpra-chaa
have shocking pain	ปวดแปลบ	bpuad-blɛ̀p
cover up	ปิดป้อง	bpìd-bpɔ́ŋ
cover one's eyes and ears	ปิดหูปิดตา	bpìd-hǔu-bpìd-dtaa
lay the foundation	ปูพื้น	bpuu-pʉʉn
lay the floor	ปูพื้น	bpuu-pʉʉn
survey findings	ผลสำรวจ	pǒn-sǎm-rùat
flee	ผละหนี	pà-lá-nǐi
repel	ผละออก	plà-ɔ̀ɔk
be illegal	ผิดกฎหมาย	pìt-gòt-màai
nobleman	ผู้สูงศักดิ์	pûu-suuŋ-sàk
dream	ฝันใฝ่	fan-fai
exercise one's mind	ฝึกสมอง	fʉ̀k-sà-mɔɔŋ
royal permission	พระบรมราชานุญาต	prá-brom-raa-chaa-nu-yâat
patronage	พระบรมราชูปถัมภ์	pá-rom-raa-chuu-bpà-tùm
royal policy	พระบรมราโชบาย	pʰrá-brom-raa-choo-baai
repairman	ผู้แก้ไข	pûu-gɛ̂e-kài
discoverer	ผู้ค้นพบ	pûu-kón-pbop
opponent	ผู้คัดค้าน	pûu-kát-kâan
killer	ผู้ฆ่า	pʉ́-kàa
organizer	ผู้จัดทำ	pùu-jàt-tam
persuader	ผู้ชักชวน	pûu-chák-chuan
guide	ผู้ชักนำ	pʉ́-chák-nam
guide	ผู้ชี้นำ	pûu-chíi-nam
manager	ผู้ดำเนินงาน	pʉ́-dam-nəən-ngaan
traveler	ผู้เดินทาง	pûu-dəən-taaŋ
examiner	ผู้ตรวจ	pʉ́-dtruaŋ
inspector	ผู้ตรวจการณ์	pʉ́-dtrùat-gaan
examiner	ผู้ตรวจสอบ	pû-dtruaht-sɔ̀ɔp
decision-maker	ผู้ตัดสินใจ	pûu-dtàt-sin-jai
follower	ผู้ตาม	pʉ́-dtaam
appointer	ผู้แต่งตั้ง	pûu-dtɛ̀ŋ-dtâŋ
spokesperson	ผู้แถลงข่าว	pû-tlæ̌ng-kàao
experimenter	ผู้ทดลอง	pʉ́-dtɔ̀ɔŋ
influential person	ผู้ทรงอิทธิพล	pʉ̂-song-it-ti-pon
destroyer	ผู้ทำลาย	pûu-tam-laai
instigator	ผู้บงการ	pûu-bong-gaan
executive	ผู้บริหารงาน	pʉ́-bɔ-rí-hǎan-ngaan
government administrator	ผู้บริหารประเทศ	pʉ́-bɔ-ri-hǎan-bpra-tèet
chief	ผู้บัญชา	pʉ́-ban-chaa
inspirer	ผู้บันดาล	pûu-ban-daan
recorder	ผู้บันทึก	pûu-ban-túk
executor	ผู้ปฏิบัติการ	pûu-bpà-dtì-bàt-gaan
trader	ผู้ประกอบการค้า	pʉ́-bpra-gɔ̀ɔp-gaan-káa
businessperson	ผู้ประกอบธุรกิจ	pʉ́-bpra-gɔ̀ɔp-tu-ra-gìt
protester	ผู้ประท้วง	pʉ́-bpra-tûaŋ
author	ผู้ประพันธ์	pûu-bpra-pan
bidder	ผู้ประมูล	pû-bpra-muun
coordinator	ผู้ประสานงาน	pʉ́-bpà-sǎan-ngaan
reformer	ผู้ปรับปรุง	pú-bpràp-bpruŋ
mistaken person	ผู้ผิด	pûu-pìt
watcher	ผู้พบเห็น	pûu-póp-hèn
developer	ผู้พัฒนา	pʉ́-pat-tá-naa
loser	ผู้พ่ายแพ้	pʉ́-pàai-pɛ́ɛ
one who consider carefully	ผู้พิจารณา	pʉ́-pi-jaa-rá-naa
loyalist	ผู้ภักดี	pú-pàk-dii
wealthy person	ผู้มั่งคั่ง	pûu-maŋ-kaŋ
new-comer	ผู้มาใหม่	pûu-maa-mai
pauper	ผู้ยากไร้	pʉ́-yâak-rai
borrower	ผู้ยืม	pûu-yʉʉm
attendee at a meeting	ผู้ร่วมประชุม	pûu-ruâm-bpra-chum
cooperator	ผู้ร่วมมือ	pûu-ruam-mʉʉ
participant in a show	ผู้ร่วมรายการ	pûu-ruam-raa-gaan
complainer	ผู้ร้องทุกข์	pûu-rɔ́ɔŋ-túk
survivor	ผู้รอดชีวิต	pûu-rɔ̂ɔt-chii-wit
one acting temporarily in place of	ผู้รักษาการ	pʉ́-rák-sǎa-gaan
receiver	ผู้รับ	pûu-ráp
servant	ผู้รับใช้	pûu-ráp-cai
one carrying a burden	ผู้รับภาระ	pû-ráp-paa-rá
reporter	ผู้รายงาน	pûu-raay-ngaan
witness	ผู้รู้เห็นเหตุการณ์	pûu-rúu-hèn-hèt-gaan
initiator	ผู้เริ่มต้น	pûu-rə̂m-dtôn
one who demands	ผู้เรียกร้อง	pûu-rîak-ráwŋ
learner	ผู้เรียนรู้	pûu-rian-rúu
endorser	ผู้ลงนาม	pûu-long-naam
doer	ผู้ลงมือ	pûu-loŋ-mʉʉ
candidate	ผู้ลงรับเลือกตั้ง	pûu-long-ráp-lʉ̌ak-dtâŋ
the deceased	ผู้ล่วงลับ	pûu-luaŋ-lap
violator	ผู้ละเมิด	pʉ́-lá-məəd
narrator	ผู้เล่าเรื่อง	pûu-làao-rʉ̂aŋ
one who looks after	ผู้เลี้ยงดู	pûu-líaŋ-duu
takes care of	ผู้เลี้ยงดู	pʉ́-líaŋ-duu
examination candidate	ผู้สมัครสอบ	pʉ́-sà-màk-sɔ̀p
successor	ผู้สืบต่อ	pûu-sʉ̀ub-dtɔ̀
addict	ผู้เสพติด	pʉ́-sèp-dtìt
well-wisher	ผู้หวังดี	pûu-waŋ-dii
one who is cruel	ผู้เหี้ยมโหด	pʉ́-hǐam-hòot
one who approves	ผู้อนุมัติ	pûu-a-nu-mát-dtì
controlee	ผู้อยู่ใต้บังคับบัญชา	pûu-yùu-dtâi-baŋ-kap-ban-chaa
commander	ผู้ออกคำสั่ง	pûu-ɔ̀ɔk-kam-saŋ
weakling	ผู้อ่อนแอ	pʉ̂-ɔ̀ɔn-ɛɛ
one who is unlucky	ผู้อาภัพ	pû-aa-pap
supporter	ผู้อุปถัมภ์ค้ำชู	púʉ-ùp-tàm-kám-chuu
an honor person	ผู้ทรงเกียรติ	pûu-song-giat
government leader	ผู้นำรัฐบาล	pûu-nam-rát-baan
one who earns his	ผู้ประกอบอาชีพ	pʉ́-bpra-gɔ̀ɔp-aa-chii-p
her living	ผู้ประกอบอาชีพ	pʉ́-bpà-gɔ̀ɔp-aa-chii-p
royal representative	ผู้แทนพระองค์	pûu-tɛɛn-prá-ɔŋ
campaign poster	ป้ายหาเสียง	bpáai-hǎa-sǐaŋ
plan	ผังงาน	pǎŋ-ngaan
member of the royal family	พระบรมวงศานุวงศ์	prá-brom-woŋ-sǎa-nu-woŋ
importer	ผู้นำเข้า	pʉ́-nam-kâo
royal guidance	พระบรมราโชวาท	pá-rom-raa-choh-wâat
tutelage	พระบรมราโชวาท	pá-rom-raa-choo-wâat
life of the Buddha	พระพุทธประวัติ	pá-rá-put-tà-prà-wàt
Buddha's proverbs	พระพุทธภาษิต	pra-put-ta-paa-sit
Buddha's mantra	พระพุทธมนต์	pá-rá-put-mon
waver	พลิ้วไหว	plíw-wǎi
sacrifice one's life	พลีชีพ	plii-chip
be identical	พ้องต้องกัน	pɔ́ɔŋ-dtɔ́ɔŋ-gan
briefly	พอสังเขป	pɔ́ɔ-saŋ-kèp
go for a change of air	พักตากอากาศ	phák-taa-gaa-gaat
collapse	พังครืน	pang-khrʉʉn
disintegrate	พังครืน	phaŋ-krʉʉn
good God	พับผ่า	páp-pàa
be puzzled	พิศวงงงงวย	pít-soŋ-ngaa-wai
should be done	พึงกระทำ	pʉŋ-grà-tam
rely on oneself	พึ่งตัวเอง	pʉ̂ng-dtua-eeŋ
be supposed to	พึงมี	pʉŋ-mii
local	พื้นถิ่น	pʉ́ʉn-tìn
local area	พื้นถิ่น	pʉ́ʉn-tìn
grassland	พื้นหญ้า	phʉ̂n-yâa
direct	พุ่งตรง	púng-dtrong
get to the point	พุ่งประเด็น	pûŋ-bpra-dèn
soar	พุ่งพรวด	pûŋ-pruat
dart	พุ่งพรวด	púng-pruat
be agitated	พุ่งพล่าน	pûŋ-plàan
Buddhist moral code	พุทธธรรม	put-ta-tam
Buddhist philosophy	พุทธปรัชญา	put-ta-bprat-jaa
Buddhist diocese	พุทธมณฑล	put-ta-mon-don
Lord Buddha	พุทโธ	put-to
sky	ฟากฟ้า	fâa-fáa
the southern part	ภาคใต้	pháak-dtâi
the northern part	ภาคเหนือ	pʰaak-nʉ̌a
the north-eastern part	ภาคอีสาน	pâak-ii-sǎan
image	ภาพพจน์	páap-pot
beneath	ภายใต้	paa-dtâi
at heart	ภายในใจ	pai-nai-jai
duty	ภาระหน้าที่	paa-rá-nâa-tîi
import duty	ภาษีนำเข้า	paa-sǐi-nam-kâo
motor-vehicle tax	ภาษีรถยนต์	paa-sǐi-rót-yon
dying	มรณะ	mon-ra-ná
die	มรณะ	mɔ-rá-ná
pollution	มลพิษ	mon-lá-pit
contamination	มลภาวะ	mon-la-paa-wa
roll	มวน	muan
be colicky	มวน	muan
roll	มวน	muan
cruelly	มหาโหด	má-hǎa-hòot
watch	มองดู	mɔɔŋ-duu
fail to see	มองไม่เห็น	moŋ-mâi-hěn
have the perspective of	มองโลก	mɔɔŋ-loo̱k
think	มองว่า	moong-wâa
burn out	มอดไหม้	mɔ́ɔd-hǎi
authorize	มอบอำนาจ	mɔ̂ɔp-am-naaj
often	มัก	màk
lower secondary school	มัธยมต้น	mat-ta-yom-dtôn
upper secondary school	มัธยมปลาย	mat-ta-yom-bplai
strengthen	มั่นคงแข็งแรง	màn-kong-kɛ̂ng-rɛɛng
permanently	มั่นคงถาวร	man-kong-thaao-on
last	มั่นคงถาวร	màn-kong-tǎa-wɔɔn
French fries	มันฝรั่งทอด	man-fa-raŋ-tɔɔd
glitter	มันวาว	man-waao
confidently	มั่นอกมั่นใจ	man-ok-man-jai
be confident	มั่นอกมั่นใจ	man-ok-man-jai
confident	มาดมั่น	maa-man
intend	มาดมั่น	maa-dman
